"taxonomy","Keystoneness"
"species13",0.00118236301624276
"species1",0.000895723173256091
"species5",0.000830695509257875
"species14",0.000739206664695385
"species10",0.000711492917090104
"species9",0.000621067820590971
"species2",0.000608664917152182
"species15",0.000582856148842196
"species6",0.000540346749745899
"species7",0.000515534912248997
"species12",0.000496100135513853
"species3",0.000481853245971743
"species4",0.000374228373999508
"species11",0.000373407987128685
"species8",0.000356288605924465
